50	0
149	1
200	0
250	1
300	0
349	1
404	0
450	1
500	0
550	1
599	0
649	1
700	0
750	1
800	0
849	1
899	0
950	1
1000	0
1050	1
1099	0
1149	1
1200	0
1250	1
1300	0
1349	1
1399	0
1450	1
1500	0
1550	1
1599	0
1649	1
1700	0
1750	1
1800	0
1849	1
1899	0
1950	1
2154	0
2250	1
2300	0
2350	1
2405	0
2450	1
2505	0
2550	1
2600	0
2650	1
2705	0
2750	1
2805	0
2850	1
2905	0
2950	1
3000	0
3050	1
3104	0
3149	1
3205	0
3250	1
3305	0
3349	1
3404	0
3450	1
3500	0
3550	1
3604	0
3649	1
3705	0
3750	1
3805	0
3850	1
3900	0
3950	1
4005	0
4050	1
4104	0
4149	1
4205	0
4250	1
4300	0
4350	1
4405	0
4450	1
4505	0
4550	1
4605	0
4650	1
4705	0
4750	1
4805	0
4849	1
4899	0
4950	1
